node_id,longitude,latitude
456086193,77.5610724,12.9946727
456086197,77.562525,12.9928844
456086201,77.5623525,12.9919894
456086202,77.5622892,12.9915657
456086226,77.5665123,12.9905938
456086228,77.5676664,12.9908561
456086229,77.5665091,12.9909208
456086231,77.5638598,12.9910319
456086248,77.5664686,12.99213
456086255,77.5664639,12.9924521
456086256,77.5632989,12.9929934
456086259,77.5644574,12.9927532
456086265,77.5677898,12.9927402
456086266,77.5664444,12.9927964
456086270,77.5685333,12.9930741
456086272,77.5677696,12.9931079
456086274,77.5664172,12.9931289
456086287,77.5627668,12.9938032
456086290,77.5620776,12.9938654
456086294,77.5608453,12.9939343
456086296,77.5608942,12.9929612
456086297,77.561021,12.9921108
456086300,77.5624267,12.9924363
456086301,77.5609538,12.9925814
456086303,77.5608683,12.9934992
456086304,77.5620607,12.9934001
456086306,77.562649,12.9933287
456086307,77.5631338,12.9932304
456086308,77.560498,12.9942183
456086310,77.5627979,12.9940389
456086311,77.5631737,12.9923114
456086314,77.5612342,12.991226
456086316,77.5622397,12.9911542
456086318,77.5614598,12.9908514
456086319,77.5621788,12.9908408
456086321,77.5625526,12.9907621
456086363,77.5656103,12.9948476
456086365,77.5663723,12.9948571
456086371,77.5663928,12.9944782
456086373,77.5675014,12.9944681
456086375,77.5664015,12.994145
456086381,77.5677257,12.9937851
456086383,77.5664102,12.9937917
456086388,77.5645476,12.9931543
456086389,77.5633782,12.9933728
456086392,77.5632265,12.9925531
456086393,77.5643556,12.9923151
456086395,77.5638526,12.9924332
456086398,77.5637381,12.9917641
456086412,77.5623584,12.9900444
456086414,77.5638243,12.9901817
456086415,77.5621027,12.9902501
456086564,77.562622,12.990456
456086566,77.5638311,12.9904119
456086568,77.5626674,12.9907022
456086570,77.5638387,12.9906669
456086572,77.5643403,12.9906637
456086574,77.5643912,12.9910179
460976026,77.5627869,13.0096306
460976028,77.5614189,13.0076923
460976034,77.5617652,13.0076751
460976044,77.5617966,13.0067421
460976059,77.5691776,13.0078881
460976063,77.5686333,13.0086485
460976131,77.5652702,13.0088318
460976134,77.5652755,13.0095273
460976141,77.5655231,13.0074885
460976146,77.5716816,13.0072142
461539040,77.575879,13.0147632
461539041,77.5760571,13.0093914
461539043,77.5759985,13.011657
461539044,77.5760337,13.0104628
461539045,77.5804972,13.0102555
461539046,77.5792963,13.0071511
461539053,77.5804828,13.0108462
461539055,77.5748438,13.0134727
461539058,77.5749745,13.0124926
461539059,77.5828407,13.0145466
461539062,77.582769,13.012885
461539065,77.5797117,13.0147157
461539066,77.5795766,13.0114952
461539067,77.5796464,13.0134697
461539068,77.5759296,13.0136527
461539069,77.5759471,13.0132516
461539070,77.5796301,13.0130244
461539071,77.5783129,13.0074107
461539072,77.5795092,13.0092401
461539073,77.5773121,13.014755
461539074,77.57724,13.0104068
461539075,77.5785818,13.0078354
461539076,77.5778568,13.0082508
461539077,77.5799361,13.0092214
461539078,77.578589,13.0092797
461539079,77.5765349,13.0093705
461539080,77.5765251,13.0132164
461539082,77.5768203,13.0089988
461539083,77.5765031,13.0125805
461539084,77.5796094,13.0124341
461539085,77.5795849,13.0119658
461539086,77.5765085,13.0120865
461539087,77.5783467,13.0115493
461539088,77.5784873,13.0147474
461539089,77.5796696,13.0139871
461539090,77.5759123,13.0141536
461539091,77.5787938,13.0092719
461539092,77.5787702,13.0115299
461539093,77.5780094,13.0093015
461539094,77.5779954,13.0115654
